Gene,Genome,Gene_Count,Path,Activity,Trophic_level,Substrate,Product,Enzymatic_Activity,iso_index
GH13,Pseudobutyrivibrio_ruminis_AD2017,5,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",205
GH13,Pseudobutyrivibrio_sp_LB2011_T375,7,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",90
GH13,Ruminococcus_albus_7_DSM_20455,5,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",106
GH13,Ruminococcus_flavefaciens_B34b,2,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",103
GH13,Ruminococcus_gnavus_AGR2154_HUN022,7,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",101
GH13,Selenomonas_ruminantium_AC2024_P157,2,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",129
GH13,Succinivibrio_dextrinosolvens_DSM_3072,5,starch,starch,Plant Polymer Degradation,Starch,Glucose,"Alpha-Amylases, Pullulanases, Cyclodextrin Glycosyltransferases",117
GH3,Agathobacter_ruminis_DSMZ_29029,7,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Xylosidases, N-Acetylglucosaminidases",8
GH3,Akkermansia_muciniphila_strain_DSM_22959,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Xylosidases, N-Acetylglucosaminidases",10
GH3,Bacteroides_thetaiotaomicron_DSM_2079,10,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Xylosidases, N-Acetylglucosaminidases",17
GH3,Bacteroides_uniformis_ATCC_8492,24,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Xylosidases, N-Acetylglucosaminidases",20
GH3,bacteroides_vulgatus,3,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Xylosidases, N-Acetylglucosaminidases",137
GH3,Basfia_succiniciproducens_strain_DSM_22022,1,disaccharides,disaccharides,Sugar,disaccharides,pentose + hexose,"Beta-Glucosidases, Beta-Xylosidases, N-Acetylglucosaminidases",133
